ファイル名,Rawテキスト
R_Captures 2023_07_05 4_23_33.png,情報 推奨レベル リセットまでの時間 ロケーション 敵派閥 BER グループ再生 鋭い視線(デフォルト) レベル50以上 22H Vault 94 ロボット 近距離でグループ化すると回復する Perceptionが大幅に増加する
R_Captures 2023_07_09 6_10_24.png,情報 推奨レベル リセットまでの時間 |ョレレョンーレス 敵派閥 敵変異 弾力性 鋭い視線(デフォルト) レベル50以上 20H 燃え盛る鉱山 スーパーミュータント 近接攻撃でのみ倒せる Perceptionが大幅に増加する
R_Fallout 76 Screenshot 2023.05.20 - 06.57.25.92.png,情報 推奨レベル リセットまでの時間 =レルニンレス 敵派閥 敵変異 プリスタリングコールド(ダブル) 鋭い視線(デフォルト) レベル50以上 20H WO-X =シリリッンク 素早く、氷結攻撃を繰り出す Perceptionが大幅に増加する
R_Fallout 76 Screenshot 2023.05.22 - 06.46.05.62.png,> 情報 推奨レベル レベル50以上 リセットまでの時間 20H =レルニンレス 燃え盛る鉱山 敵派閥 スコーチ X 敵変異 冷酷無比(ダブル) 周囲を回復し、近接攻撃でしか倒されない 鋭い視線(デフォルト) Perceptionが大幅に増加する
R_Fallout 76 Screenshot 2023.05.23 - 06.51.30.58.png,情報 推奨レベル レベル50以上 リセットまでの時間 20H ロケーション ワトガ・ハイスクール 敵派閥 モールマイナー 敵変異 リフレクトスキン 定期的に直接的なダメージを相手に反射する サヴェージ・ストライク(デフォルト) 致命的なアーマー貫通攻撃
R_Fallout 76 Screenshot 2023.05.26 - 06.39.03.34.png,情報 推奨レベル リセットまでの時間 ロケーション 敵派閥 BER 1 ジジシアルル 鋭い視線(デフォルト) レベル50以上 20H チャールストン議事党 スコーチ 死詞時にポイズンハザードを展開する Perceptionが大幅に増加する
R_Fallout 76 Screenshot 2023.05.28 - 06.41.28.46.png,情報 推奨レベル リセットまでの時間 |ョレレョンーレス 敵派閥 敵変異 弾力性 鋭い視線(デフォルト) レベル50以上 20H アンキャニー洞窟 スコーチ 近接攻撃でのみ倒せる Perceptionが大幅に増加する
R_Fallout 76 Screenshot 2023.05.29 - 06.58.14.50.png,情報 推奨レベル リセットまでの時間 =レルニンレス 敵派閥 敵変異 氷の手 サヴェージ・ストライク(デフォルト) mi、 レベル50以上 20H WO-X ロボット 攻撃時に標的を遅くする 致命的なアーマー貫通攻撃
R_Fallout 76_20230402062000.png,情報 推奨レベル リセットまでの時間 |ョレルョンーレス 敵派閥 敵変異 アクティブ迷彩 鋭い視線(デフォルト) レベル50以上 20H アークトス・ファーで生態群研究所 スコーチ 攻撃していない間は身を隠す Perceptionが大幅に増加する
R_Fallout 76_20230403064943.png,情報 推奨レベル リセットまでの時間 ロケーション cd] 敵変異 弾力性 サヴェージ・ストライク(デフォルト) レベル50以上 20H バレー・ガレリア エイリアン 近接攻撃でのみ倒せる 致命的なアーマー貫通攻撃
R_Fallout 76_20230406075245.png,情報 推奨レベル レベル50以上 リセットまでの時間 19H ロケーション ウエストテック研究センター td HERA 敵変異 リフレクトスキン 定期的に直接的なダメージを相手に反射する 鋭い視線(デフォルト) Perceptionが大幅に増加する
R_Fallout 76_20230408063844.png,情報 推奨レベル リセットまでの時間 |ョレルョンーレス 敵派閥 敵変異 スティングフロスト(ダブル) 鋭い視線(デフォルト) レベル50以上 20H Fe WAN スコーチ 氷結攻撃し、倒されると毒性ハザードを残す Perceptionが大幅に増加する
R_Fallout 76_20230409062717.png,情報 推奨レベル リセットまでの時間 ロケーション td 敵変異 チリングメンド(ダブル) サヴェージ・ストライク(デフォルト) レベル50以上 20H Vault 94 = リリック 周囲を回復し、氷結攻撃 致命的なアーマー貫通攻撃
R_Fallout 76_20230410063624.png,情報 推奨レベル リセットまでの時間 |ョレルョンーレス 敵派閥 敵変異 スウィフト・ストーカー(ダブル) 鋭い視線(デフォルト) レベル50以上 20H ガ-レイダーアリーナ スーパーミュータント クローク能力があり、 素早い Perceptionが大幅に増加する
R_Fallout 76_20230412080532.png,情報 推奨レベル レベル50以上 リセットまでの時間 18H ロケーション バレーガレリア 敵派閥 スーパーミュータント BER リフレクトスキン 定期的に直接的なダメージを相手に反射する 鋭い視線(デフォルト) Perceptionが大幅に増加する
R_Fallout 76_20230416055303.png,情報 推奨レベル レベル50以上 リセットまでの時間 21H ロケーション アンキャニー洞窟 wR プラバボイーグル 敵変異 リフレクトスキン 定期的に直接的なダメージを相手に反射する 鋭い視線(デフォルト) Perceptionが大幅に増加する
R_Fallout 76_20230418060324.png,情報 推奨レベル リセットまでの時間 ロケーション td 敵変異 トキシックプブラッド 鋭い視線(デフォルト) レベル50以上 20H バローズ ロボット 死亡時にポイズンハザードを展開する Perceptionが大幅に増加する
R_Fallout 76_20230424073404.png,情報 推奨レベル レベル50以上 リセットまでの時間 19H ロケーション チャールストン議事堂 敵派閥 モールマイナー 敵変異 冷酷無比(ダブル) 周囲を回復し、近接攻撃でしか倒されない 鋭い視線(デフォルト) Perceptionが大幅に増加する
R_Fallout 76_20230426065448.png,情報 推奨レベル リセットまでの時間 ロケーション 敵派閥 敵変異 弾力性 鋭い視線(デフォルト) レベル50以上 20H ワトガ-レイダーアリーナ ロボット 近接攻撃でのみ倒せる Perceptionが大幅に増加する
R_Fallout 76_20230430061511.png,情報 推奨レベル リセットまでの時間 |ョレルョンーレス 敵派閥 敵変異 アクティブ迷彩 鋭い視線(デフォルト) レベル50以上 20H ワトガ-レイダーアリーナ 共産党員 攻撃していない間は身を隠す Perceptionが大幅に増加する
R_Fallout 76_20230502065808.png,情報 推奨レベル リセットまでの時間 |ョレルョンーレス 敵派閥 敵変異 氷の手 鋭い視線(デフォルト) レベル50以上 20H ガラハン鉱業本社 モールマイナー 攻撃時に標的を遅くする Perceptionが大幅に増加する
R_Fallout 76_20230504071758.png,情報 推奨レベル リセットまでの時間 |ョレルョンーレス 敵派閥 敵変異 グループ再生 鋭い視線(デフォルト) レベル50以上 19H Vault 96 プラバドイーグル 近距離でグループ化すると回復する Perceptionが大幅に増加する
R_Fallout 76_20230505063339.png,情報 推奨レベル リセットまでの時間 ロケーション wo 敵変異 プリスタリングコールド(ダプル) サヴェージ・ストライク(デフォルト) レベル50以上 20H アンキャニー洞窟 エイリアン 素早く、氷結攻撃を繰り出す 致命的なアーマー貫通攻撃
R_Fallout 76_20230506080832.png,情報 推奨レベル リセットまでの時間 ロケーション 敵派内 敵変異 燕気性(ダブル) 鋭い視線(デフォルト) レベル50以上 18H Vault 94 カルト教信者 クローク能力があり、死亡時に爆発 Perceptionが大幅に増加する
R_Fallout 76_20230508063555.png,情報 推奨レベル レベル50以上 リセットまでの時間 20H ロケーション アークトス・ファーで生態群研究所 敵派閥 スーパーミュータント 敵変異 BEST) クローク能力があり、倒されると毒性ハザードを残す 鋭い視線(デフォルト) Perceptionが大幅に増加する
R_Fallout 76_20230510044323.png,情報 推奨レベル レベル50以上 リセットまでの時間 22H ロケーション ウエストテック研究センター 敵派閥 ロボット 敵変異 リフレクトスキン 定期的に直接的なダメージを相手に反射する 鋭い視線(デフォルト) Perceptionが大幅に増加する
R_Fallout 76_20230511063800.png,情報 推奨レベル リセットまでの時間 ロケーション ce] 敵変異 FRE サヴェージ・ストライク(デフォルト) レベル50以上 20H | チャールストン議事党 エイリアン % 死亡時に爆発 致命的なアーマー貫通攻撃
R_Fallout 76_20230512065117.png,情報 推奨レベル レベル50以上 リセットまでの時間 20H ロケーション ガラハン鉱業本社 敵派閥 スーパーミュータント 敵変異 スウィフトフット 移動速度、リロード、近接攻撃のスピードが上昇する 鋭い視線(デフォルト) Perceptionが大幅に増加する
R_Fallout 76_20230514065231.png,情報 推奨レベル レベル50以上 リセットまでの時間 20H ロケーション アンキャニー洞窟 td カルト教信者 敵変異 リフレクトスキン 定期的に直接的なダメージを相手に反射する 鋭い視線(デフォルト) Perceptionが大幅に増加する
R_Fallout 76_20230517061544.png,情報 推奨レベル レベル50以上 リセットまでの時間 20H |ョレルョンーレス ワトガ・レイダーアリーナ 敵派閥 モールマイナー 敵変異 グループ再生 近距離でグループ化すると回復する サヴェージ・ストライク(デフォルト) 致命的なアーマー貫通攻撃
R_Fallout 76_20230518070808.png,情報 推奨レベル リセットまでの時間 ロケーション 敵派閥 敵変異 不安定 鋭い視線(デフォルト) レベル50以上 死 19H Vault 96 = リリック 記時に爆発 Perceptionが大幅に増加する
R_Fallout 76_20230524074952.png,情報 推奨レベル リセットまでの時間 ロケーション td 敵変異 トキシックプブラッド 鋭い視線(デフォルト) =きっ レベル50以上 19H バレー・ガレリア カルト教信者 死亡時にポイズンハザードを展開する Perceptionが大幅に増加する
R_Fallout 76_20230531054857.png,情報 推奨レベル リセットまでの時間 ロケーション | 敵変異 氷の手 サヴェージ・ストライク(デフォルト) レベル50以上 21H ウエストテック研究センター プラッドイーグル 攻撃時に標的を遅くする 致命的なアーマー貫通攻撃
R_Fallout 76_20230615043733.png,情報 推奨レベル リセットまでの時間 ロケーション 敵派閥 敵変異 不安定 鋭い視線(デフォルト) レベル50以上 22H 燃え盛る鉱山 死 エイリアン 記時に爆発 Perceptionが大幅に増加する
R_Fallout 76_20250129082518.png,情報 推奨レベル リセットまでの時間 |ョレルョンーレス 敵派閥 敵変異 グループ再生 鋭い視線(デフォルト) レベル50以上 18H 燃え盛る鉱山 カルト教信者 近距離でグループ化すると回復する Perceptionが大幅に増加する
R_Fallout76 2023_05_30 7_07_08.png,情報 推奨レベル レベル50以上 リセットまでの時間 19H ロケーション チャールストン議事党 敵派閥 スコーチ 敵変異 スウィフトフット 移動速度、リロード、近接攻撃のスピードが上昇する 鋭い視線(デフォルト) Perceptionが大幅に増加する
R_Fallout76 2023_06_01 6_42_21.png,情報 推奨レベル リセットまでの時間 |ョレレョンーレス 敵派閥 敵変異 弾力性 鋭い視線(デフォルト) レベル50以上 20H ガレイダーアリーナ 4 ロボット 近接攻撃でのみ倒せる Perceptionが大幅に増加する
R_Fallout76 2023_06_02 8_07_17.png,情報 推奨レベル リセットまでの時間 =レルニンレス 敵派閥 敵変異 アンステイブル(ダブル) サヴェージ・ストライク(デフォルト) レベル50以上 18H Vault 94 共産党員 素早く、 死亡時に爆発 致命的なアーマー貫通攻撃
R_Fallout76 2023_06_03 7_11_00.png,情報 推奨レベル リセットまでの時間 ロケーション 敵派閥 BER スウィフト・ストーカー(ダブル) 鋭い視線(デフォルト) レベル50以上 19H ワトガ・ハイスクール カルト教信者 クローク能力があり、 素早い Perceptionが大幅に増加する
R_Fallout76 2023_06_04 6_36_25.png,情報 推奨レベル レベル50以上 リセットまでの時間 20H ロケーション 燃え盛る鉱山 敵派閥 プラッドイーグル BER 冷酷無比(ダブプル) 周囲を回復し、近接攻撃でしか倒されない サヴェージ・ストライク(デフォルト) 致命的なアーマー貫通攻撃
R_Fallout76 2023_06_07 3_58_21.png,情報 推奨レベル リセットまでの時間 ロケーション 敵派閥 BER アクティブ迷彩 鋭い視線(デフォルト) レベル50以上 23H Vault 94 共産党員 ン 攻撃していない間は身を隠す Perceptionが大幅に増加する
R_Fallout76 2023_06_09 7_40_51.png,情報 推奨レベル リセットまでの時間 ロケーション 敵派閥 BER グループ再生 鋭い視線(デフォルト) レベル50以上 19H ガラハン鉱業本社 =とリリッン 近距離でグループ化すると回復する Perceptionが大幅に増加する
R_Fallout76 2023_06_11 7_43_28.png,情報 推奨レベル リセットまでの時間 ロケーション 敵派閥 BER グループ再生 鋭い視線(デフォルト) レベル50以上 19H アンキャニー洞窟 プラッドイーグル 近距離でグループ化すると回復する Perceptionが大幅に増加する
R_Fallout76 2023_06_13 7_09_22.png,情報 推奨レベル リセットまでの時間 |ョレレョンーレス 敵派閥 敵変異 不安定 鋭い視線(デフォルト) レベル50以上 19H ガラハン鉱業本社 プラッドイーグル 死亡時に爆発 Perceptionが大幅に増加する
R_Fallout76 2023_06_17 7_18_46.png,情報 推奨レベル リセットまでの時間 =レルニンレス 敵派閥 敵変異 プリスタリングコールド(ダブル) 鋭い視線(デフォルト) レベル50以上 19H WO-X モールマイナー 素早く、氷結攻撃を繰り出す Perceptionが大幅に増加する
R_Fallout76 2023_06_19 7_05_45.png,情報 推奨レベル リセットまでの時間 ロケーション 敵派閥 BER チリングメンド(ダブル) 鋭い視線(デフォルト) レベル50以上 19H WO-X ロボット 周囲を回復し、氷結攻撃 Perceptionが大幅に増加する
R_Fallout76 2023_06_21 7_17_57.png,情報 推奨レベル リセットまでの時間 ロケーション 敵派閥 BER 1 ジジシアルル 鋭い視線(デフォルト) レベル50以上 19H チャールストン議事党 モールマイナー 死詞時にポイズンハザードを展開する Perceptionが大幅に増加する
R_Fallout76 2023_06_23 6_01_33.png,情報 推奨レベル レベル50以上 リセットまでの時間 20H ロケーション パレー・ガレリア 敵派閥 モールマイナー 敵変異 リフレクトスキン 定期的に直接的なダメージを相手に反射する 鋭い視線(デフォルト) Perceptionが大幅に増加する
R_Fallout76 2023_06_25 7_33_15.png,情報 推奨レベル レベル50以上 リセットまでの時間 19H ロケーション チャールストン議事党 敵派閥 ロボット 敵変異 スウィフトフット 移動速度、リロード、近接攻撃のスビピードが上昇する 鋭い視線(デフォルト) Perceptionが大幅に増加する
R_Fallout76 2023_06_27 7_37_25.png,情報 推奨レベル リセットまでの時間 ロケーション 敵派閥 敵変異 デンジャークラウド 鋭い視線(デフォルト) レベル50以上 19H ワトガ・レイダーアリーナ ロボット 付近のプレイヤーのHPとAPを減少させる Perceptionが大幅に増加する
R_Fallout76 2023_06_29 6_45_54.png,情報 推奨レベル リセットまでの時間 =レルニンレス 敵派閥 敵変異 アクティブ迷彩 鋭い視線(デフォルト) レベル50以上 20H ワトガ・ハイスクール ロボット 攻撃していない間は身を隠す Perceptionが大幅に増加する
R_Fallout76 2023_07_01 4_40_48.png,情報 推奨レベル リセットまでの時間 =レルニンレス 敵派閥 敵変異 蒸気性(ダブル) 鋭い視線(デフォルト) レベル50以上 22H アンキャニー洞窟 カルト教信者 クローク能力があり、死亡時に爆発 Perceptionが大幅に増加する
R_Fallout76 2023_07_03 7_08_34.png,情報 推奨レベル リセットまでの時間 ロケーション 敵派閥 BER アンステイブル(ダブル) 鋭い視線(デフォルト) レベル50以上 19H WO-X モールマイナー OS 素早く、死亡時に爆発 Perceptionが大幅に増加する
R_Fallout76 2023_07_04 7_52_52.png,情報 推奨レベル レベル50以上 リセットまでの時間 19H ロケーション ワトガ・レイダーアリーナ 敵派閥 スーパーミュータント 敵変異 蒸気性(ダブル) クローク能力があり、死亡時に爆発 サヴェージ・ストライク(デフォルト) 致命的なアーマー貫通攻撃
R_Fallout76 2023_07_07 5_57_26.png,情報 推奨レベル リセットまでの時間 ロケーション 敵派閥 BER 1 ジジシアルル 鋭い視線(デフォルト) レベル50以上 21H モーガンタウン・ハイスクール =とリリッン 死詞時にポイズンハザードを展開する Perceptionが大幅に増加する
R_Fallout76 2023_07_11 10_38_36.png,情報 推奨レベル レベル50以上 リセットまでの時間 16H =レルニンレス ウエストテック研究センター 敵派閥 エイリアン 敵変異 デンジャークラウド 付近のプレイヤーのHPとAPを減少させる 鋭い視線(デフォルト) Perceptionが大幅に増加する
R_Fallout76 2023_07_13 6_21_27.png,情報 推奨レベル レベル50以上 リセットまでの時間 20H ロケーション Vault 94 敵派閥 スーパーミュータント 敵変異 デンジャークラウド 付近のプレイヤーのHPとAPを減少させる 鋭い視線(デフォルト) Perceptionが大幅に増加する
R_Fallout76 2023_07_15 8_44_24.png,情報 推奨レベル リセットまでの時間 =レルニンレス 敵派閥 敵変異 プリスタリングコールド(ダブル) 鋭い視線(デフォルト) レベル50以上 18H Vault 96 共産党員 素早く、氷結攻撃を繰り出す Perceptionが大幅に増加する
R_Fallout76 2023_07_17 6_52_21.png,情報 推奨レベル リセットまでの時間 ロケーション 敵派閥 敵変異 スウィフト・ストーカー(ダブル) 鋭い視線(デフォルト) レベル50以上 20H ワトガ・レイダーアリーナ スーパーミュータント クローク能力があり、 素早い Perceptionが大幅に増加する
R_Fallout76 2023_07_21 9_31_55.png,情報 推奨レベル レベル50以上 リセットまでの時間 17H ロケーション ガラハン鉱業本社 敵派閥 モールマイナー 敵変異 デンジャークラウド 付近のプレイヤーのHPとAPを減少させる 鋭い視線(デフォルト) Perceptionが大幅に増加する
R_Fallout76 2023_07_25 6_51_17.png,情報 推奨レベル リセットまでの時間 |ョレレョンーレス 敵派閥 敵変異 不安定 鋭い視線(デフォルト) レベル50以上 20H アンキャニー洞窟 =とリリッン 死亡時に爆発 Perceptionが大幅に増加する
R_Fallout76 2023_07_26 7_03_04.png,情報 推奨レベル レベル50以上 リセットまでの時間 19H ロケーション ガラハン鉱業本社 敵派閥 スコーチ 敵変異 トキシックプラッド 死亡時にポイズンハザードを展開する サヴェージ・ストライク(デフォルト) 致命的なアーマー貫通攻撃
R_Fallout76 2023_07_27 6_29_49.png,情報 推奨レベル レベル50以上 リセットまでの時間 20H ロケーション アークトス・ファーマ生態群研究所 敵派閥 モールマイナー 敵変異 アクティブ迷彩 攻撃していない間は身を隠す 鋭い視線(デフォルト) Perceptionが大幅に増加する
R_Fallout76 2023_07_29 6_47_34.png,情報 推奨レベル リセットまでの時間 ロケーション 敵派閥 BER アンステイブル(ダブル) 鋭い視線(デフォルト) レベル50以上 20H アンキャニー洞窟 共産党員 素早く、死亡時に爆発 Perceptionが大幅に増加する
R_Fallout76 2023_07_31 7_02_39.png,情報 推奨レベル レベル50以上 リセットまでの時間 19H =レルニンレス ウエストテック研究センター 敵派閥 エイリアン 敵変異 毒雲(ダブル) クローク能力があり、 倒されると毒性ハザードを残す 鋭い視線(デフォルト) Perceptionが大幅に増加する
R_Fallout76 2023_08_02 7_18_39.png,情報 推奨レベル リセットまでの時間 ロケーション 敵派閥 BER グループ再生 鋭い視線(デフォルト) レベル50以上 19H 燃え盛る鉱山 =とリリッン 近距離でグループ化すると回復する Perceptionが大幅に増加する
R_Fallout76 2023_08_04 6_57_31.png,情報 推奨レベル レベル50以上 リセットまでの時間 20H ロケーション Vault 94 敵派閥 スーパーミュータント 敵変異 リフレクトスキン 定期的に直接的なダメージを相手に反射する 鋭い視線(デフォルト) Perceptionが大幅に増加する
R_Fallout76 2023_08_06 6_50_44.png,情報 推奨レベル レベル50以上 リセットまでの時間 20H ロケーション ワトガ・ハイスクール 敵派閥 ロボット 敵変異 リフレクトスキン 定期的に直接的なダメージを相手に反射する 鋭い視線(デフォルト) Perceptionが大幅に増加する
R_Fallout76 2023_08_08 7_07_56.png,、 情報 | 推奨レベル リセットまでの時間 ロケーション 敵派閥 BER グループ再生 鋭い視線(デフォルト) レベル50以上 19H 燃え盛る鉱山 プラッドイーグル 近距離でグループ化すると回復する Perceptionが大幅に増加する
R_Fallout76 2023_08_10 7_45_15.png,情報 推奨レベル リセットまでの時間 ロケーション 敵派閥 BER 氷の手 鋭い視線(デフォルト) レベル50以上 19H チャールストン議事党 スコーチ 攻撃時に標的を遅くする E Perceptionが大幅に増加する
R_Fallout76 2023_08_12 7_13_50.png,情報 推奨レベル レベル50以上 リセットまでの時間 19H ロケーション ワトガ・ハイスクール 敵派閥 スーパーミュータント 敵変異 冷酷無比(ダブル) 周囲を回復し、近接攻撃でしか倒されない 鋭い視線(デフォルト) Perceptionが大幅に増加する
R_Fallout76 2023_08_18 6_42_18.png,情報 推奨レベル リセットまでの時間 ロケーション 敵派閥 BER 氷の手 鋭い視線(デフォルト) レベル50以上 20H 燃え盛る鉱山 カルト教信者 攻撃時に標的を遅くする Perceptionが大幅に増加する
R_Fallout76 2023_08_20 7_11_29.png,情報 推奨レベル リセットまでの時間 ロケーション 敵派閥 BER アクティブ迷彩 鋭い視線(デフォルト) レベル50以上 19H ガラハン鉱業本社 スーパーミュータント 攻撃していない間は身を隠す Perceptionが大幅に増加する
R_Fallout76 2023_08_21 7_33_04.png,情報 推奨レベル リセットまでの時間 |ョレレョンーレス 敵派閥 MER 弾力性 サヴェージ・ストライク(デフォルト) レベル50以上 19H ニン プラッドイーグル 近接攻撃でのみ倒せる 致命的なアーマー貫通攻撃
R_Fallout76 2023_08_24 8_08_29.png,情報 推奨レベル リセットまでの時間 |ョレレョンーレス 敵派閥 敵変異 弾力性 鋭い視線(デフォルト) レベル50以上 18H モーガンタウン・ハイスクール カルト教信者 近接攻撃でのみ倒せる Perceptionが大幅に増加する
