ファイル名,Rawテキスト
R_Fallout76 2024_04_29 6_49_26.png,> 情報 推奨レベル レベル50以上 リセットまでの時間 20H ロケーション 燃え盛る鉱山 敵派閥 モールマイナー 敵変異 グループ再生 近距離でグループ化すると回復する サヴェージ・ストライク(デフォルト) 致命的なアーマー貫通攻撃
R_Fallout76 2024_04_30 6_57_04.png,情報 推奨レベル レベル50以上 リセットまでの時間 20H ロケーション チャールストン議事党 敵派閥 スコーチ 敵変異 スウィフトフット 移動速度、リロード、近接攻撃のスビピードが上昇する 鋭い視線(デフォルト) Perceptionが大幅に増加する
R_Fallout76_2025_01_22_07_07_23_002.png,情報 推奨レベル レベル50以上 リセットまでの時間 19H ロケーション グラスド洞窟 HORE 共産党員 敵変異 トキシックプラッド 死詞時にポイズンハザードを展開する サヴェージ・ストライク(デフォルト) 致命的なアーマー貫通攻撃
R_Fallout76_2025_02_18_08_54_45_104.png,| s j 情報 HEAL レベル50以上 リセットまでの時間 18H ロケーション チャールストン議事堂 RRA エイリアン ER リフレクトスキン 定期的に直接的なダメージを相手に反射する 鋭い視線(デフォルト) Perceptionが大幅に増加する
R_Fallout76_2025_03_04_07_00_33_728.png,情報 推奨レベル レベル50以上 リセットまでの時間 20H ロケーション パローズ 敵派閥 モールマイナー i R 敵変異 スウィフトフット 移動速度、リロード、近接攻撃のスピードが上昇する 鋭い視線(デフォルト) Perceptionが大幅に増加する
R_Fallout76_2025_03_05_06_45_29_595.png,情報 推奨レベル レベル50以上 リセットまでの時間 20H ロケーション ニン 敵派閥 モールマイナー 敵変異 スウィフトフット 移動速度、リロード、近接攻撃のスピードが上昇する 鋭い視線(デフォルト) Perceptionが大幅に増加する
R_Fallout76_2025_03_18_08_01_59_302.png,情報 HEREVAIL リセットまでの時間 ョレルョンーレス 敵派閥 敵変異 グループ再生 鋭い視線(デフォルト) レベル50以上 17H ワトガ・ハイスクール プラッドイーグル 近距離でグループ化すると回復する Perceptionが大幅に増加する
R_Fallout76_2025_04_28_07_34_19_191.png,情報 推奨レベル レベル50以上 リセットまでの時間 18H ロケーション Vault 96 敵派閥 共産党員 敵変異 グループ再生 近距離でグループ化すると回復する サヴェージ・ストライク(デフォルト) 致命的なアーマー貫通攻撃 と グ
R_Fallout76_2025_04_29_08_12_31_059.png,情報 推奨レベル リセットまでの時間 |ョレレョンーレス 敵派閥 敵変異 弾力性 鋭い視線(デフォルト) レベル50以上 17H ニン 共産党員 近接攻撃でのみ倒せる Perceptionが大幅に増加する
R_Fallout76_2025_04_30_08_48_10_884.png,情報 推奨レベル レベル50以上 リセットまでの時間 17H ロケーション アークトス・ファーで生態群研究所 敵派閥 スコーチ 敵変異 スウィフトフット 移動速度、リロード、近接攻撃のスピードが上昇する サヴェージ・ストライク(デフォルト) 致命的なアーマー貫通攻撃
R_Fallout76_2025_07_05_08_06_00_001.png,情報 HEREVAIL リセットまでの時間 ョレルョンーレス 敵派閥 敵変異 アクティブ迷彩 サヴェージ・ストライク(デフォルト) レベル50以上 17H ワトガ・ハイスクール スコーチ 攻撃していない間は身を隠す 致命的なアーマー貫通攻撃
R_Fallout76_2025_07_15_07_28_49_448.png,情報 推奨レベル リセットまでの時間 ロケーション 敵派閥 ER FRE サヴェージ・ストライク(デフォルト) レベル50以上 18H ウエストテック研究センター スーパーミュータント 死 時に爆発 致命的なアーマー貫通攻撃
R_Fallout76_2025_08_08_07_43_19_049.png,情報 HEREVAIL レベル50以上 リセットまでの時間 18H ロケーション バローズ 敵派閥 スーパーミュータント 敵変異 スティングフロスト(ダブル) ※結攻撃し、倒されると毒性ハザードを残す サヴェージ・ストライク(デフォルト) 致命的なアーマー貫通攻撃
R_Fallout76_2025_08_11_07_08_20_116.png,情報 推奨レベル レベル50以上 リセットまでの時間 18H ロケーション トガ・ハイスクール 敵派閥 スーパーミュータント ER 毒雲(ダブル) クローク能力があり、倒されると毒性ハザードを残す 鋭い視線(デフォルト) Perceptionが大幅に増加する
R_Fallout76_2025_08_12_07_36_29_071.png,情報 推奨レベル リセットまでの時間 ロケーション REA BER 不安定 サヴェージ・ストライク(デフォルト) レベル50以上 18H ガラハン鉱業本社 スーパーミュータント 死亡時に爆発 致命的なアーマー貫通攻撃
R_Fallout76_2025_08_13_07_26_52_771.png,情報 推奨レベル リセットまでの時間 ロケーション aOR 敵変異 トキシックプラッド 鋭い視線(デフォルト) レベル50以上 18H ワトガ・ハイスクール 共産党員 死亡時にポイズンハザードを展開する Perceptionが大幅に増加する
R_Fallout76_2025_08_19_07_17_31_804.png,情報 推奨レベル リセットまでの時間 ロケーション aOR 敵変異 トキシックプラッド 鋭い視線(デフォルト) レベル50以上 18H ワトガ・ハイスクール プラッドイーグル 死亡時にポイズンハザードを展開する Perceptionが大幅に増加する
R_Fallout76_2025_08_23_09_00_29_836.png,情報 HEAL リセットまでの時間 ロケーション aR 敵変異 鋭い視線(デフォルト) レベル50以上 17H バレー・ガレリア 共産党員 Perceptionが大幅に増加する
R_Fallout76_2025_08_25_09_37_03_351.png,情報 HEREVAIL リセットまでの時間 ョレルョンーレス 敵派閥 敵変異 スウィフト・ストーカー(ダブル) 鋭い視線(デフォルト) レベル50以上 16H ワトガ・ハイスクール スーパーミュータント クローク能力があり、 素早い Perceptionが大幅に増加する
R_Fallout76_2025_08_29_09_56_42_876.png,情報 推奨レベル レベル50以上 リセットまでの時間 16H ロケーション トガ・ハイスクール 敵派閥 スーパーミュータント ER スティングフロスト(ダブル) ※結攻撃し、倒されると毒性ハザードを残す 鋭い視線(デフォルト) Perceptionが大幅に増加する
R_Fallout76_2025_08_30_09_45_02_599.png,情報 推奨レベル リセットまでの時間 ロケーション aOR 敵変異 チリングメンド(ダブル) サザヴェージ・ストライク(デフォルト) レベル50以上 16H グラスド洞窟 プラッドイーグル iN に ェニー 周囲を回復し、氷結攻撃 致命的なアーマー貫通攻撃
R_Fallout76_2025_08_31_09_57_30_010.png,情報 推奨レベル レベル50以上 リセットまでの時間 16H ロケーション 'ガ-ハイスクール | 敵派閥 スーパーミュータント ER スティングフロスト(ダブル) ※結攻撃し、倒されると毒性ハザードを残す 鋭い視線(デフォルト) Perceptionが大幅に増加する
R_Fallout76_2025_09_03_06_38_38_661.png,情報 推奨レベル リセットまでの時間 ロケーション 敵派閥 ER Batt サヴェージ・ストライク(デフォルト) レベル50以上 19H アンキャニー洞窟 モールマイナー 近接攻撃でのみ倒せる 致命的なアーマー貫通攻撃
R_Fallout76_2025_09_04_07_06_13_795.png,情報 推奨レベル レベル50以上 リセットまでの時間 18H ロケーション ウエストテック研究センター Hee EE ER スウィフトフット 移動速度、リロード、近接攻撃のスピードが上昇する 鋭い視線(デフォルト) Perceptionが大幅に増加する
R_Fallout76_2025_09_05_03_33_13_393.png,情報 推奨レベル リセットまでの時間 ロケーション BOR 敵変異 スウィフト・ストーカー(ダブル) サザヴェージ・ストライク(デフォルト) レベル50以上 22H 燃え盛る鉱山 共産党員 クローク能力があり、素早い 致命的なアーマー貫通攻撃
R_Fallout76_2025_09_12_07_04_36_940.png,: | 情報 HEREVAIL リセットまでの時間 ロケーション 敵派閥 敵変異 弾力性 鋭い視線(デフォルト) レベル50以上 18H コミュニティセンター 伸びすぎ 近接攻撃でのみ倒せる Perceptionが大幅に増加する
R_Fallout76_2025_09_13_06_51_12_434.png,情報 推奨レベル レベル50以上 リセットまでの時間 19H ロケーション モーガンタウン・ハイスクール 敵派閥 レニニンョ MER グループ再生 近距離でグループ化すると回復する サヴェージ・ストライク(デフォルト) 致命的なアーマー貫通攻撃
R_Fallout76_2025_09_15_07_07_24_180.png,情報 HEREVAIL リセットまでの時間 ョレルョンーレス 敵派閥 敵変異 アクティブ迷彩 サヴェージ・ストライク(デフォルト) レベル50以上 18H ウエストテック研究センター ロボット 攻撃していない間は身を隠す 致命的なアーマー貫通攻撃
R_Fallout76_2025_09_16_09_12_40_744.png,情報 推奨レベル レベル50以上 リセットまでの時間 16H ロケーション アークトス・ファーで生態群研究所 ROR 共産党員 ER リフレクトスキン 定期的に直接的なダメージを相手に反射する 鋭い視線(デフォルト) Perceptionが大幅に増加する
R_Fallout76_2025_09_18_09_38_37_812.png,情報 推奨レベル リセットまでの時間 ロケーション BOR 敵変異 トキシックプラッド 鋭い視線(デフォルト) レベル50以上 16H ワトガ・ハイスクール ロボット 死亡時にポイズンハザードを展開する Perceptionが大幅に増加する
R_Fallout76_2025_09_20_07_52_25_990.png,情報 HEREVAIL リセットまでの時間 ョレルョンーレス 敵派閥 敵変異 氷の手 鋭い視線(デフォルト) レベル50以上 18H ワトガ・ハイスクール プラッドイーグル 攻撃時に標的を遅くする Perceptionが大幅に増加する
R_Fallout76_2025_09_21_07_06_57_074.png,情報 HEREVAIL レベル50以上 リセットまでの時間 18H ロケーション ワトガ・レイダーアリーナ 敵派閥 モールマイナー 敵変異 デンジャークラッウド 付近のプレイヤーのHPとAPを減少させる サヴェージ・ストライク(デフォルト) 致命的なアーマー貫通攻撃
R_Fallout76_2025_09_25_07_28_09_855.png,情報 推奨レベル レベル50以上 リセットまでの時間 18H ロケーション 燃え盛る鉱山 Hee EE ER リフレクトスキン 定期的に直接的なダメージを相手に反射する サヴェージ・ストライク(デフォルト) 致命的なアーマー貫通攻撃
R_Fallout76_2025_09_26_06_41_07_740.png,情報 推奨レベル レベル50以上 リセットまでの時間 19H ロケーション ワトガ・レイダーアリーナ HORE スーパーミュータント 敵変異 冷酷無比(ダブル) 周囲を回復し、近接攻撃でしか倒されない 鋭い視線(デフォルト) Perceptionが大幅に増加する
R_Fallout76_2025_09_28_08_02_40_695.png,情報 HEREVAIL リセットまでの時間 ョレルョンーレス 敵派閥 敵変異 アンステイブル(ダブル) 鋭い視線(デフォルト) レベル50以上 17H WA-X スーパーミュータント 素早く、 死亡時に爆発 Perceptionが大幅に増加する
R_Fallout76_2025_10_02_07_16_08_272.png,情報 HEREVAIL リセットまでの時間 ョレルョンーレス 敵派閥 敵変異 アクティブ迷彩 鋭い視線(デフォルト) レベル50以上 18H Vault 94 スーパーミュータント 攻撃していない間は身を隠す Perceptionが大幅に増加する
R_Fallout76_2025_10_04_07_56_52_052.png,情報 HEREVAIL リセットまでの時間 ョレルョンーレス 敵派閥 敵変異 チリングメンド(ダブル) 鋭い視線(デフォルト) レベル50以上 18H アンキャニー洞窟 ロボット 周囲を回復し、氷結攻撃 Perceptionが大幅に増加する
R_Fallout76_2025_10_06_07_05_58_074.png,情報 HEREVAIL レベル50以上 リセットまでの時間 18H ロケーション コミュニティセンター 敵派閥 伸びすぎ 敵変異 冷酷無比(ダブル) 周囲を回復し、近接攻撃でしか倒されない 鋭い視線(デフォルト) Perceptionが大幅に増加する
R_Fallout76_2025_10_10_06_54_16_805.png,情報 HEREVAIL リセットまでの時間 ョレルョンーレス 敵派閥 敵変異 氷の手 鋭い視線(デフォルト) レベル50以上 19H Vault 94 プラッドイーグル 2 攻撃時に標的を遅くする Perceptionが大幅に増加する
R_Fallout76_2025_10_12_07_31_04_374.png,情報 HEREVAIL リセットまでの時間 ョレルョンーレス 敵派閥 敵変異 グループ再生 鋭い視線(デフォルト) レベル50以上 18H バレー・ガレリア ロボット 近距離でグループ化すると回復する Perceptionが大幅に増加する
R_Fallout76_2025_10_15_07_15_28_387.png,1 | 情報 推奨レベル レベル50以上 リセットまでの時間 18H ロケーション グラスド洞窟 TR PIV RES 敵変異 グループ再生 近距離でグループ化すると回復する サヴェージ・ストライク(デフォルト) 致命的なアーマー貫通攻撃
R_Fallout76_2025_10_16_07_45_29_930.png,情報 推奨レベル レベル50以上 リセットまでの時間 18H ロケーション ガラハン鉱業本社 敵派閥 スーパーミュータント ER スウィフトフット 移動速度、リロード、近接攻撃のスピードが上昇する 鋭い視線(デフォルト) Perceptionが大幅に増加する
R_Fallout76_2025_10_20_07_18_09_815.png,情報 HEREVAIL リセットまでの時間 ョレルョンーレス 敵派閥 敵変異 アンステイブル(ダブル) 鋭い視線(デフォルト) レベル50以上 18H WA-X スーパーミュータント 素早く、 死亡時に爆発 Perceptionが大幅に増加する
R_Fallout76_2025_10_22_09_21_16_716.png,情報 HEREVAIL リセットまでの時間 ョレルョンーレス 敵派閥 敵変異 氷の手 鋭い視線(デフォルト) レベル50以上 16H ワトガ・ハイスクール モールマイナー 攻撃時に標的を遅くする Perceptionが大幅に増加する
R_Fallout76_2025_10_24_08_07_38_313.png,情報 HEREVAIL リセットまでの時間 ョレルョンーレス 敵派閥 敵変異 アクティブ迷彩 鋭い視線(デフォルト) レベル50以上 17H Vault 96 ロボット 攻撃していない間は身を隠す Perceptionが大幅に増加する
R_Fallout76_2025_10_26_08_23_00_556.png,情報 HEREVAIL リセットまでの時間 ョレルョンーレス 敵派閥 敵変異 グループ再生 鋭い視線(デフォルト) レベル50以上 17H DIANE プラッドイーグル 近距離でグループ化すると回復する Perceptionが大幅に増加する
R_Fallout76_2025_10_30_07_17_37_165.png,情報 HEREVAIL リセットまでの時間 ョレルョンーレス 敵派閥 敵変異 グループ再生 鋭い視線(デフォルト) レベル50以上 18H WA-X モールマイナー KN) 近距離でグループ化すると回復する Perceptionが大幅に増加する
R_Fallout76_2025_11_05_07_43_09_098.png,情報 推奨レベル リセットまでの時間 ロケーション aOR 敵変異 トキシックプラッド 鋭い視線(デフォルト) レベル50以上 19H ウエストテック研究センター プラッドイーグル 死亡時にポイズンハザードを展開する Perceptionが大幅に増加する
R_Fallout76_2025_11_09_08_03_08_381.png,情報 HEREVAIL リセットまでの時間 ロケーション 敵派閥 敵変異 不安定 鋭い視線(デフォルト) レベル50以上 18H チャールストン議事堂 カルト教信者 死 時に爆発 Perceptionが大幅に増加する
R_Fallout76_2025_11_13_07_40_59_273.png,= 情報 推奨レベル リセットまでの時間 ロケーション OEE 敵変異 トキシックプラッド 鋭い視線(デフォルト) レベル50以上 19H WA-X スーパーミュータント 亡時にポイズンハザードを展開する Perceptionが大幅に増加する
R_Fallout76_2025_11_14_06_31_27_722.png,情報 推奨レベル リセットまでの時間 ロケーション aOR ER アンステイブル(ダブル) サザヴェージ・ストライク(デフォルト) レベル50以上 20H ワトガ-レイダーアリーナ カルト教信者 ran 素早く、死亡時に爆発 致命的なアーマー貫通攻撃
R_Fallout76_2025_11_15_10_56_55_348.png,情報 推奨レベル リセットまでの時間 ロケーション 敵派閥 BER スウィフト・ストーカー(ダブル) 鋭い視線(デフォルト) レベル50以上 16H Vault 96 ロボット クローク能力があり、素早い Perceptionが大幅に増加する
R_Fallout76_2025_11_16_07_35_29_468.png,情報 推奨レベル リセットまでの時間 =レルニンレス 敵派閥 敵変異 アンステイブル(ダブル) サヴェージ・ストライク(デフォルト) レベル50以上 19H モーガンタウン・ハイスクール プラッドイーグル 素早く、死亡時に爆発 致命的なアーマー貫通攻撃
R_Fallout76_2025_11_17_07_51_31_275.png,情報 推奨レベル レベル50以上 リセットまでの時間 19H ロケーション 燃え盛る鉱山 敵派閥 スーパーミュータント 敵変異 スティングフロスト(ダブル) ※結攻撃し、倒されると毒性ハザードを残す 鋭い視線(デフォルト) Perceptionが大幅に増加する
R_Fallout76_2025_11_18_07_36_14_761.png,情報 推奨レベル リセットまでの時間 ロケーション | 敵変異 アクティブ迷彩 サヴェージ・ストライク(デフォルト) レベル50以上 19H バレー・ガレリア プラッドイーグル 攻撃していない間は身を隠す 致命的なアーマー貫通攻撃
R_Fallout76_2025_11_19_06_47_38_752.png,情報 推奨レベル リセットまでの時間 ロケーション 敵派閥 BER 氷の手 鋭い視線(デフォルト) レベル50以上 20H コミュニティセンター 伸びすぎ 攻撃時に標的を遅くする Perceptionが大幅に増加する
R_Fallout76_2025_11_20_07_25_14_248.png,情報 推奨レベル レベル50以上 リセットまでの時間 19H ロケーション ニン 敵派閥 カルト教信者 敵変異 デンジャークラウド 付近のプレイヤーのHPとAPを減少させる サヴェージ・ストライク(デフォルト) 致命的なアーマー貫通攻撃
R_Fallout76_2025_11_22_07_37_53_932.png,情報 推奨レベル レベル50以上 リセットまでの時間 19H ロケーション チャールストン議事党 | プラッドイーグル 敵変異 スウィフトフット 移動速度、リロード、近接攻撃のスピードが上昇する サヴェージ・ストライク(デフォルト) 致命的なアーマー貫通攻撃
R_Fallout76_2025_11_23_08_00_58_936.png,情報 推奨レベル リセットまでの時間 ロケーション 敵派閥 BER アクティブ迷彩 鋭い視線(デフォルト) レベル50以上 19H ニン スーパーミュータント 攻撃していない間は身を隠す Perceptionが大幅に増加する
R_Fallout76_2025_11_24_06_56_46_146.png,情報 推奨レベル レベル50以上 リセットまでの時間 20H ロケーション Vault 94 敵派閥 ロボット 敵変異 スウィフトフット 移動速度、リロード、近接攻撃のスピードが上昇する サヴェージ・ストライク(デフォルト) 致命的なアーマー貫通攻撃
R_Fallout76_2025_11_25_06_03_48_797.png,情報 推奨レベル リセットまでの時間 ロケーション 敵派閥 BER 氷の手 鋭い視線(デフォルト) レベル50以上 。 20H Vault 94 スーパーミュータント 攻撃時に標的を遅くする Perceptionが大幅に増加する
R_Fallout76_2025_11_26_07_34_04_436.png,情報 推奨レベル レベル50以上 リセットまでの時間 19H ロケーション ウエストテック研究センター 敵派閥 プラッドイーグル 敵変異 スウィフトフット 移動速度、リロード、近接攻撃のスピードが上昇する サヴェージ・ストライク(デフォルト) 致命的なアーマー貫通攻撃
R_Fallout76_2025_11_27_07_31_03_544.png,情報 推奨レベル レベル50以上 リセットまでの時間 19H ロケーション チャールストン議事党 敵派閥 スーパーミュータント 敵変異 リフレクトスキン 定期的に直接的なダメージを相手に反射する 鋭い視線(デフォルト) Perceptionが大幅に増加する
R_Fallout76_2025_11_28_06_34_22_595.png,情報 推奨レベル レベル50以上 リセットまでの時間 20H ロケーション ワトガ・ハイスクール 敵派閥 スーパーミュータント 敵変異 スティングフロスト(ダブル) 氷結攻撃し、倒されると毒性ハザードを残す サヴェージ・ストライク(デフォルト) 致命的なアーマー貫通攻撃
R_Fallout76_2026_02_07_07_27_27_753.png,情報 HEREVAIL リセットまでの時間 ョレルョンーレス 敵派閥 敵変異 スウィフト・ストーカー(ダブル) 鋭い視線(デフォルト) レベル50以上 19H DIANE プラッドイーグル クローク能力があり、 素早い Perceptionが大幅に増加する
R_obs64_2025_06_21_08_24_46_291.png,情報 推奨レベル リセットまでの時間 ロケーション 敵派閥 BER スウィフト・ストーカー(ダブル) サヴェージ・ストライク(デフォルト) レベル50以上 17H アンキャニー洞窟 ロボット クローク能力があり、素早い 致命的なアーマー貫通攻撃
R_Screenshot 2025-04-04 07-50-29.png,情報 推奨レベル リセットまでの時間 ロケーション 敵派閥 MER プリスタリングコールド(ダブル) 鋭い視線(デフォルト) レベル50以上 17H ワトガ・ハイスクール ロボット 素早く、 氷結攻撃を繰り出す Perceptionが大幅に増加する
R_Screenshot 2025-04-05 07-59-43.png,{BRR 推奨レベル レベル50以上 リセットまでの時間 17H ロケーション Vault 96 敵派閥 モールマイナー でik MER 鋭い視線(デフォルト) Perceptionが大幅に増加する
R_Screenshot 2025-06-10 07-44-45.png,情報 推奨レベル リセットまでの時間 ロケーション 敵派閥 MER 氷の手 鋭い視線(デフォルト) レベル50以上 18H グラスド洞窟 スーパーミュータント 攻撃時に標的を遅くする Perceptionが大幅に増加する
R_Screenshot 2025-06-15 11-55-36.png,Ei 推奨レベル レベル50以上 リセットまでの時間 14H ロケーション モーガンタウン・ハイスクール 敵派閥 モールマイナー 敵変異 スティングフロスト(ダブル) ※結攻撃し、倒されると毒性ハザードを残す サヴェージ・ストライク(デフォルト) 致命的なアーマー貫通攻撃
R_Screenshot 2025-07-23 09-08-50.png,情報 推奨レベル リセットまでの時間 ロケーション HORE BER FRE サヴェージ・ストライク(デフォルト) レベル50以上 16H アンキャニー洞窟 カルト教信者 死亡時に爆発 致命的なアーマー貫通攻撃
R_Screenshot 2025-07-23 09-10-32.png,情報 推奨レベル リセットまでの時間 ロケーション HORE BER FRE サヴェージ・ストライク(デフォルト) レベル50以上 16H アンキャニー洞窟 カルト教信者 死亡時に爆発 致命的なアーマー貫通攻撃
R_X-Game動画及びキャプチャ 2023_07_23 7_51_02.png,情報 推奨レベル リセットまでの時間 |ョレレョンーレス 敵派閥 敵変異 弾力性 鋭い視線(デフォルト) レベル50以上 19H モーガンタウン・ハイスクール スコーチ 近接攻撃でのみ倒せる Perceptionが大幅に増加する
R_＃Fallout76　#今日のデイリー - Google ドキュメント - Google Chrome 2023_08_28 7_47_58.png,情報 推奨レベル レベル50以上 リセットまでの時間 19H ロケーション ワトガ・レイダーアリーナ 敵派閥 カルト教信者 敵変異 蒸気性(ダブル) クローク能力があり、死亡時に爆発 鋭い視線(デフォルト) Perceptionが大幅に増加する
